kegg_gene,gene_num
NACA,1598
NAE1,1599
NBL1,1600
NBR1,1601
NCALD,1602
NCAM1,1603
NCAM2,1604
NCBP1,1605
NCBP2,1606
NCK1,1607
NCK2,1608
NCKAP1,1609
NCOA1,1610
NCOA2,1611
NCOA3,1612
NCOA4,1613
NCOR1,1614
NCOR2,1615
NCSTN,1616
NDUFA10,1617
NDUFA11,1618
NDUFA12,1619
NDUFA13,1620
NDUFA2,1621
NDUFA3,1622
NDUFA4,1623
NDUFA4L2,1624
NDUFA6,1625
NDUFA7,1626
NDUFA8,1627
NDUFA9,1628
NDUFAB1,1629
NDUFB1,1630
NDUFB10,1631
NDUFB2,1632
NDUFB3,1633
NDUFB5,1634
NDUFB6,1635
NDUFB7,1636
NDUFB9,1637
NDUFC1,1638
NDUFS1,1639
NDUFS2,1640
NDUFS3,1641
NDUFS5,1642
NDUFS6,1643
NDUFS7,1644
NDUFS8,1645
NDUFV1,1646
NDUFV2,1647
NDUFV3,1648
NECTIN1,1649
NECTIN2,1650
NECTIN3,1651
NEDD4,1652
NEDD4L,1653
NEFH,1654
NEFM,1655
NEO1,1656
NEUROD1,1657
NEUROG3,1658
NF1,1659
NF2,1660
NFASC,1661
NFATC1,1662
NFATC2,1663
NFATC3,1664
NFATC4,1665
NFE2L2,1666
NFKB1,1667
NFKB2,1668
NFKBIA,1669
NFKBIB,1670
NFKBIZ,1671
NFS1,1672
NFYA,1673
NFYB,1674
NGEF,1675
NGF,1676
NGFR,1677
NKD1,1678
NKD2,1679
NKX2-2,1680
NKX6-1,1681
NLGN1,1682
NLK,1683
NLRC4,1684
NLRP6,1685
NLRX1,1686
NMB,1687
NMBR,1688
NMU,1689
NMUR1,1690
NOD1,1691
NOD2,1692
NODAL,1693
NOG,1694
NOS1,1695
NOS1AP,1696
NOS3,1697
NOTCH1,1698
